,player_id,pretty_name,date_of_birth,position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp
2390,240617,Aziz Ceylan,1996-01-10,Attack,Both,184,,90000.0
2391,338803,Furkan Akbulut,1996-11-13,Defender,Left,186,,
2392,240640,Egemen Zengin,1996-01-01,Defender,Right,181,,45000.0
2393,13168,Raul Meireles,1983-03-17,Midfield,Both,179,,14400000.0
2394,275671,Anil Demir,1996-11-04,Goalkeeper,,190,,45000.0
2395,275683,Melih Kabasakal,1996-02-18,Midfield,Right,178,,428000.0
2396,400276,Savas Cakir,1996-06-17,Attack,Right,175,,135000.0
2397,93687,Mohammed Diarra,1992-06-20,Midfield,Both,183,,360000.0
2398,9813,Bosingwa,1982-08-24,Defender,Right,183,,19350000.0
2399,58697,Pitu Garcia,1984-01-27,Midfield,Left,174,,855000.0
2400,292200,Mertcan Cam,1995-11-16,Midfield,Right,174,,360000.0
2401,98125,Mehmet Kuruoglu,1990-08-10,Defender,Right,185,,315000.0
2402,338838,Muhammet Besir,1997-01-01,Attack,Right,189,,450000.0
2403,23674,Erkan Zengin,1985-08-05,Attack,Right,180,,4050000.0
2404,255532,Ibrahim Demir,1995-09-02,Goalkeeper,Right,190,,405000.0
2405,385726,Yagizcan Erdem,1997-02-13,Midfield,Right,181,,135000.0
2406,291853,Mert Yildirim,1996-02-16,Midfield,Right,175,,45000.0
2407,381689,Mehmet Yesil,1998-05-31,Defender,Both,188,,225000.0
2408,338200,Denizhan Deniz,1998-07-27,Attack,Right,172,,90000.0
2409,75035,Franco Jara,1988-07-15,Attack,Right,181,,4950000.0
2410,39003,David Fuster,1982-02-03,Midfield,Right,177,,4050000.0
2411,28643,Romeu,1985-02-13,Midfield,Both,179,,1350000.0
2412,57020,Marios Nikolaou,1983-10-04,Midfield,Right,177,,900000.0
2413,216600,Semih Ergul,1995-06-06,Attack,Right,183,,225000.0
2414,25668,Christos Mingas,1984-04-15,Midfield,Right,172,,405000.0
2415,28719,Sanel Jahic,1981-12-10,Defender,Right,185,,1800000.0
2416,47785,Jukka Raitala,1988-09-15,Defender,Both,181,,1350000.0
2417,15118,Thomas Augustinussen,1981-03-20,Midfield,Right,192,,1350000.0
2418,285439,Serkan Yavuz,1996-08-15,Defender,Right,185,,135000.0
2419,24465,Valeri Domovchiyski,1986-10-05,Attack,Left,180,,1800000.0
2420,162942,Federico Franchini,1994-01-23,Midfield,Right,184,,158000.0
2421,347647,Vincenzo Ceci,1998-03-24,Defender,,0,,45000.0
2422,130108,Pajtim Kasami,1992-06-02,Midfield,Left,188,1800000.0,5850000.0
2423,132931,Georgios Theos,1991-08-22,Attack,Right,184,,225000.0
2424,330892,Talha Caliskan,1996-01-04,Attack,,0,,90000.0
2425,56693,Raffaele Bianco,1987-08-25,Midfield,Right,180,,810000.0
2426,189765,Ivan Markovic,1994-06-20,Midfield,Right,185,,338000.0
2427,330894,Yunus Oz,1996-02-12,Midfield,,0,,45000.0
2428,248215,Duhan Caglar Akdag,1996-01-17,Goalkeeper,,190,,45000.0
2429,35004,Balazs Dzsudzsak,1986-12-23,Midfield,Left,179,,16200000.0
2430,256772,Emirhan Aydogan,1997-06-26,Midfield,Left,177,,788000.0
2431,319724,Utku Turk,1997-01-20,Attack,Left,0,,
2432,79355,Hajime Hosogai,1986-06-10,Midfield,Right,177,,3150000.0
2433,45168,Bakaye Traore,1985-03-06,Midfield,Right,186,,2700000.0
2434,165724,Lorenzo Pasciuti,1989-09-24,Midfield,Right,172,,1440000.0
2435,77362,Ozan Ipek,1986-10-10,Attack,Left,185,,4950000.0
2436,273130,Federico Gino,1993-02-26,Midfield,Right,176,,675000.0
